"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem";"ogółem";"2020";38265013;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2020";18502241;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2020";19762772;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2020";1902236;"osoba";"";
0000000;"POLSKA";"0-4";"mężczyźni";"2020";976934;"osoba";"";
0000000;"POLSKA";"0-4";"kobiety";"2020";925302;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2020";1910470;"osoba";"";
0000000;"POLSKA";"5-9";"mężczyźni";"2020";981987;"osoba";"";
0000000;"POLSKA";"5-9";"kobiety";"2020";928483;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2020";2065628;"osoba";"";
0000000;"POLSKA";"10-14";"mężczyźni";"2020";1059013;"osoba";"";
0000000;"POLSKA";"10-14";"kobiety";"2020";1006615;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2020";1794310;"osoba";"";
0000000;"POLSKA";"15-19";"mężczyźni";"2020";919954;"osoba";"";
0000000;"POLSKA";"15-19";"kobiety";"2020";874356;"osoba";"";
0000000;"POLSKA";"20-24";"ogółem";"2020";1969685;"osoba";"";
0000000;"POLSKA";"20-24";"mężczyźni";"2020";1007095;"osoba";"";
0000000;"POLSKA";"20-24";"kobiety";"2020";962590;"osoba";"";
0000000;"POLSKA";"25-29";"ogółem";"2020";2402721;"osoba";"";
0000000;"POLSKA";"25-29";"mężczyźni";"2020";1222297;"osoba";"";
0000000;"POLSKA";"25-29";"kobiety";"2020";1180424;"osoba";"";
0000000;"POLSKA";"30-34";"ogółem";"2020";2820162;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2020";1431230;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2020";1388932;"osoba";"";
0000000;"POLSKA";"35-39";"ogółem";"2020";3225731;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2020";1631420;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2020";1594311;"osoba";"";
0000000;"POLSKA";"40-44";"ogółem";"2020";3075130;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2020";1551252;"osoba";"";
0000000;"POLSKA";"40-44";"kobiety";"2020";1523878;"osoba";"";
0000000;"POLSKA";"45-49";"ogółem";"2020";2693241;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2020";1351172;"osoba";"";
0000000;"POLSKA";"45-49";"kobiety";"2020";1342069;"osoba";"";
0000000;"POLSKA";"50-54";"ogółem";"2020";2282038;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2020";1132707;"osoba";"";
0000000;"POLSKA";"50-54";"kobiety";"2020";1149331;"osoba";"";
0000000;"POLSKA";"55-59";"ogółem";"2020";2323428;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2020";1131721;"osoba";"";
0000000;"POLSKA";"55-59";"kobiety";"2020";1191707;"osoba";"";
0000000;"POLSKA";"60-64";"ogółem";"2020";2680248;"osoba";"";
0000000;"POLSKA";"60-64";"mężczyźni";"2020";1260299;"osoba";"";
0000000;"POLSKA";"60-64";"kobiety";"2020";1419949;"osoba";"";
0000000;"POLSKA";"65-69";"ogółem";"2020";2505595;"osoba";"";
0000000;"POLSKA";"65-69";"mężczyźni";"2020";1122813;"osoba";"";
0000000;"POLSKA";"65-69";"kobiety";"2020";1382782;"osoba";"";
0000000;"POLSKA";"70 i więcej";"ogółem";"2020";4614390;"osoba";"";
0000000;"POLSKA";"70 i więcej";"mężczyźni";"2020";1722347;"osoba";"";
0000000;"POLSKA";"70 i więcej";"kobiety";"2020";2892043;"osoba";"";
0000000;"POLSKA";"70-74";"ogółem";"2020";1916928;"osoba";"";
0000000;"POLSKA";"70-74";"mężczyźni";"2020";809884;"osoba";"";
0000000;"POLSKA";"70-74";"kobiety";"2020";1107044;"osoba";"";
0000000;"POLSKA";"75-79";"ogółem";"2020";1013492;"osoba";"";
0000000;"POLSKA";"75-79";"mężczyźni";"2020";390267;"osoba";"";
0000000;"POLSKA";"75-79";"kobiety";"2020";623225;"osoba";"";
0000000;"POLSKA";"80-84";"ogółem";"2020";865717;"osoba";"";
0000000;"POLSKA";"80-84";"mężczyźni";"2020";292861;"osoba";"";
0000000;"POLSKA";"80-84";"kobiety";"2020";572856;"osoba";"";
0000000;"POLSKA";"85 i więcej";"ogółem";"2020";818253;"osoba";"";
0000000;"POLSKA";"85 i więcej";"mężczyźni";"2020";229335;"osoba";"";
0000000;"POLSKA";"85 i więcej";"kobiety";"2020";588918;"osoba";"";
0000000;"POLSKA";"0-14";"ogółem";"2020";5878334;"osoba";"";
0000000;"POLSKA";"0-14";"mężczyźni";"2020";3017934;"osoba";"";
0000000;"POLSKA";"0-14";"kobiety";"2020";2860400;"osoba";"";
